Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,High school graduate or higher,Bachelor's degree or higher,Population 35 to 44 years,High school graduate or higher,Bachelor's degree or higher,Population 45 to 64 years,High school graduate or higher,Bachelor's degree or higher,Population 65 years and over,High school graduate or higher,Bachelor's degree or higher
"Census Tract 5002, Santa Clara County, California!!Female!!Estimate",289,4.50%,0.00%,64.70%,30.80%,"1,386",4.60%,5.80%,2.50%,29.20%,7.10%,39.90%,10.90%,89.60%,50.80%,522,93.50%,61.10%,314,100.00%,62.40%,444,96.60%,42.60%,106,10.40%,0.00%
"Census Tract 5002, Santa Clara County, California!!Female!!Margin of Error",±189,±9.1,±12.9,±18.6,±17.8,±210,±3.6,±5.1,±2.6,±10.4,±4.4,±10.2,±5.7,±4.5,±10.4,±146,±10.1,±15.6,±126,±11.9,±22.4,±110,±5.2,±18.6,±45,±22.0,±30.4
"Census Tract 5003, Santa Clara County, California!!Total!!Estimate",397,20.70%,34.00%,37.50%,7.80%,"2,667",13.10%,5.60%,14.30%,21.20%,5.80%,25.00%,15.00%,81.30%,40.00%,841,85.30%,60.80%,944,72.10%,29.40%,661,97.10%,39.30%,221,58.40%,8.60%
"Census Tract 5003, Santa Clara County, California!!Total!!Margin of Error",±137,±11.5,±14.6,±20.7,±10.0,±897,±7.4,±3.5,±3.9,±7.1,±4.3,±8.9,±7.5,±9.2,±14.0,±240,±10.9,±11.1,±774,±23.2,±30.3,±134,±3.1,±13.4,±80,±27.5,±10.4
"Census Tract 5003, Santa Clara County, California!!Male!!Estimate",134,47.00%,45.50%,0.00%,7.50%,"1,581",8.10%,9.00%,15.90%,18.20%,8.50%,29.20%,11.00%,82.90%,40.20%,507,82.10%,58.60%,566,74.70%,36.00%,403,99.00%,33.30%,105,68.60%,0.00%
"Census Tract 5003, Santa Clara County, California!!Male!!Margin of Error",±84,±17.8,±18.2,±25.4,±12.3,±495,±5.7,±6.0,±8.1,±4.7,±6.8,±9.7,±6.6,±8.1,±13.7,±161,±10.9,±13.5,±386,±20.7,±30.4,±114,±2.4,±17.4,±59,±30.6,±30.6
"Census Tract 5003, Santa Clara County, California!!Female!!Estimate",263,7.20%,28.10%,56.70%,8.00%,"1,086",20.30%,0.60%,12.00%,25.50%,1.70%,19.00%,20.90%,79.10%,39.90%,334,90.10%,64.10%,378,68.30%,19.60%,258,94.20%,48.80%,116,49.10%,16.40%
"Census Tract 5003, Santa Clara County, California!!Female!!Margin of Error",±139,±9.2,±19.1,±22.8,±15.3,±430,±11.6,±1.0,±9.1,±14.9,±1.8,±10.0,±11.4,±11.3,±17.1,±131,±12.8,±21.3,±394,±26.9,±30.1,±53,±7.9,±16.8,±42,±30.0,±19.7
"Census Tract 5004, Santa Clara County, California!!Total!!Estimate",229,12.70%,26.60%,52.40%,8.30%,"1,665",8.50%,9.30%,19.80%,15.20%,4.30%,25.60%,17.20%,82.20%,42.80%,483,82.00%,52.00%,392,83.70%,41.30%,425,87.30%,50.80%,365,74.80%,23.00%
"Census Tract 5004, Santa Clara County, California!!Total!!Margin of Error",±128,±20.4,±21.0,±24.4,±12.1,±162,±3.8,±5.5,±8.6,±6.4,±2.9,±7.5,±7.0,±6.8,±9.6,±122,±10.5,±15.6,±162,±15.1,±21.9,±119,±10.6,±16.6,±109,±13.2,±11.9
"Census Tract 5004, Santa Clara County, California!!Male!!Estimate",105,0.00%,48.60%,51.40%,0.00%,824,11.90%,7.90%,19.30%,12.10%,7.60%,28.40%,12.70%,80.20%,41.10%,196,68.90%,52.00%,177,93.20%,42.40%,262,84.00%,41.20%,189,74.60%,28.60%
"Census Tract 5004, Santa Clara County, California!!Male!!Margin of Error",±80,±30.6,±34.4,±34.4,±30.6,±100,±6.6,±5.3,±11.6,±7.9,±5.3,±9.9,±7.7,±7.3,±11.4,±73,±20.5,±21.9,±85,±12.0,±23.8,±82,±12.5,±17.3,±61,±15.7,±16.9
"Census Tract 5004, Santa Clara County, California!!Female!!Estimate",124,23.40%,8.10%,53.20%,15.30%,841,5.20%,10.70%,20.30%,18.20%,1.10%,22.90%,21.50%,84.10%,44.50%,287,90.90%,51.90%,215,75.80%,40.50%,163,92.60%,66.30%,176,75.00%,17.00%
"Census Tract 5004, Santa Clara County, California!!Female!!Margin of Error",±81,±32.9,±15.5,±31.7,±20.4,±123,±3.1,±8.5,±10.2,±7.7,±1.7,±8.5,±8.6,±9.5,±9.8,±88,±10.4,±17.8,±96,±24.5,±23.8,±64,±12.9,±21.7,±68,±16.3,±15.1
"Census Tract 5005, Santa Clara County, California!!Total!!Estimate",301,17.30%,3.30%,42.20%,37.20%,"3,752",5.80%,4.90%,13.40%,17.90%,4.50%,32.20%,21.30%,89.30%,53.50%,665,95.50%,40.90%,783,87.00%,74.70%,"1,440",98.00%,65.10%,864,72.10%,24.80%
"Census Tract 5005, Santa Clara County, California!!Total!!Margin of Error",±165,±16.2,±6.2,±29.2,±37.0,±287,±3.3,±2.5,±3.4,±5.6,±2.1,±4.6,±5.4,±4.4,±5.6,±247,±4.8,±14.2,±123,±8.9,±9.0,±145,±2.6,±7.4,±142,±12.6,±10.1
"Census Tract 5005, Santa Clara County, California!!Male!!Estimate",177,24.30%,5.60%,44.60%,25.40%,"1,728",6.90%,5.30%,11.90%,16.30%,4.20%,32.70%,22.70%,87.70%,55.40%,337,96.10%,38.00%,402,84.80%,75.60%,677,97.00%,66.80%,312,62.20%,23.40%
"Census Tract 5005, Santa Clara County, California!!Male!!Margin of Error",±108,±23.2,±10.8,±30.2,±35.1,±186,±5.9,±2.8,±5.5,±7.0,±3.1,±7.1,±6.5,±6.2,±8.0,±128,±6.2,±22.1,±77,±10.6,±12.2,±107,±4.9,±10.8,±106,±23.2,±15.0
"Census Tract 5005, Santa Clara County, California!!Female!!Estimate",124,7.30%,0.00%,38.70%,54.00%,"2,024",4.80%,4.60%,14.60%,19.30%,4.80%,31.80%,20.20%,90.60%,51.90%,328,94.80%,43.90%,381,89.20%,73.80%,763,98.80%,63.60%,552,77.70%,25.50%
"Census Tract 5005, Santa Clara County, California!!Female!!Margin of Error",±83,±13.5,±27.0,±36.5,±39.2,±208,±3.0,±3.1,±4.0,±6.1,±2.9,±5.9,±6.5,±4.8,±7.0,±152,±7.6,±16.9,±86,±9.6,±12.1,±98,±2.2,±9.7,±118,±12.4,±11.6
"Census Tract 5006, Santa Clara County, California!!Total!!Estimate",471,9.30%,52.90%,14.90%,22.90%,"3,368",4.70%,5.00%,22.00%,14.80%,5.20%,29.90%,18.30%,90.30%,48.30%,"1,025",93.50%,42.70%,842,89.90%,53.10%,"1,146",91.40%,56.00%,355,78.30%,27.90%
"Census Tract 5006, Santa Clara County, California!!Total!!Margin of Error",±229,±14.3,±27.1,±11.9,±19.1,±386,±3.5,±3.2,±6.9,±5.0,±2.7,±5.9,±5.1,±4.3,±7.3,±297,±7.1,±10.4,±205,±10.2,±16.8,±194,±4.8,±10.6,±128,±13.3,±20.3
"Census Tract 5006, Santa Clara County, California!!Male!!Estimate",109,0.00%,86.20%,0.00%,13.80%,"1,709",4.60%,2.90%,23.80%,18.00%,9.10%,26.50%,15.10%,92.50%,41.60%,502,88.80%,39.00%,450,95.60%,41.80%,538,97.40%,51.50%,219,82.60%,22.80%
"Census Tract 5006, Santa Clara County, California!!Male!!Margin of Error",±105,±29.8,±27.5,±29.8,±27.5,±270,±4.5,±2.2,±9.3,±7.5,±5.0,±7.9,±5.4,±4.7,±9.1,±190,±14.6,±17.1,±138,±5.7,±19.9,±140,±4.2,±13.8,±94,±13.0,±19.1
"Census Tract 5006, Santa Clara County, California!!Female!!Estimate",362,12.20%,42.80%,19.30%,25.70%,"1,659",4.80%,7.20%,20.20%,11.50%,1.10%,33.50%,21.70%,87.90%,55.20%,523,97.90%,46.30%,392,83.40%,66.10%,608,86.00%,60.00%,136,71.30%,36.00%
"Census Tract 5006, Santa Clara County, California!!Female!!Margin of Error",±160,±18.1,±27.3,±14.3,±20.5,±210,±3.2,±5.5,±6.9,±5.3,±1.4,±7.7,±7.5,±5.7,±9.2,±162,±3.7,±15.6,±147,±18.4,±20.7,±126,±9.3,±14.1,±55,±20.8,±26.0
"Census Tract 5008, Santa Clara County, California!!Total!!Estimate",108,23.10%,51.90%,15.70%,9.30%,"1,660",9.60%,12.30%,24.90%,19.00%,3.70%,22.10%,8.40%,78.10%,30.50%,624,89.70%,30.80%,294,76.90%,41.50%,398,62.30%,27.60%,344,76.20%,24.10%
"Census Tract 5008, Santa Clara County, California!!Total!!Margin of Error",±95,±36.1,±30.9,±16.4,±15.2,±210,±7.5,±5.5,±6.5,±8.3,±2.4,±7.6,±4.3,±7.1,±7.6,±196,±8.5,±10.9,±109,±17.3,±19.3,±108,±19.9,±15.1,±44,±14.2,±20.4
"Census Tract 5008, Santa Clara County, California!!Male!!Estimate",70,35.70%,52.90%,11.40%,0.00%,894,8.30%,11.50%,32.20%,17.40%,1.10%,22.80%,6.60%,80.20%,29.40%,368,91.30%,16.00%,161,88.80%,52.20%,218,55.00%,29.40%,147,80.30%,38.10%
"Census Tract 5008, Santa Clara County, California!!Male!!Margin of Error",±84,±56.5,±46.8,±10.4,±39.3,±154,±7.5,±7.0,±8.4,±9.2,±1.8,±9.6,±5.2,±6.4,±9.2,±129,±10.9,±14.0,±87,±14.4,±22.2,±59,±21.0,±16.6,±37,±18.3,±26.5
"Census Tract 5008, Santa Clara County, California!!Female!!Estimate",38,0.00%,50.00%,23.70%,26.30%,766,11.10%,13.30%,16.30%,20.80%,6.70%,21.30%,10.60%,75.60%,31.90%,256,87.50%,52.00%,133,62.40%,28.60%,180,71.10%,25.60%,197,73.10%,13.70%
"Census Tract 5008, Santa Clara County, California!!Female!!Margin of Error",±37,±53.4,±31.9,±40.0,±28.6,±142,±8.3,±9.3,±9.2,±13.5,±4.6,±11.6,±6.3,±12.1,±13.0,±115,±18.1,±27.6,±51,±29.3,±26.9,±72,±24.6,±20.0,±31,±15.9,±16.9
"Census Tract 5009.01, Santa Clara County, California!!Total!!Estimate",880,10.60%,5.90%,59.10%,24.40%,"2,109",9.30%,4.70%,17.40%,14.60%,6.90%,32.40%,14.70%,86.00%,47.10%,"1,041",90.10%,46.50%,334,92.50%,61.10%,474,79.10%,43.90%,260,73.80%,37.70%
"Census Tract 5009.01, Santa Clara County, California!!Total!!Margin of Error",±264,±12.1,±5.6,±13.3,±8.0,±246,±4.8,±2.9,±5.2,±6.9,±6.0,±6.3,±6.0,±5.1,±7.2,±248,±6.3,±11.5,±124,±8.5,±16.7,±123,±11.4,±16.9,±54,±16.6,±17.9
"Census Tract 5009.01, Santa Clara County, California!!Male!!Estimate",487,19.10%,5.70%,60.00%,15.20%,"1,268",8.50%,4.70%,11.80%,16.30%,7.00%,39.70%,12.00%,86.80%,51.70%,773,88.00%,44.00%,180,93.90%,75.00%,241,73.90%,48.50%,74,100.00%,85.10%
"Census Tract 5009.01, Santa Clara County, California!!Male!!Margin of Error",±173,±20.5,±6.9,±21.0,±9.8,±203,±6.1,±3.4,±7.1,±9.9,±10.0,±9.7,±7.3,±6.6,±9.9,±198,±8.6,±13.8,±82,±9.6,±18.1,±67,±18.2,±20.9,±49,±38.2,±24.5
"Census Tract 5009.01, Santa Clara County, California!!Female!!Estimate",393,0.00%,6.10%,58.00%,35.90%,841,10.50%,4.80%,25.70%,12.00%,6.80%,21.40%,18.90%,84.80%,40.30%,268,96.30%,53.70%,154,90.90%,44.80%,233,84.50%,39.10%,186,63.40%,18.80%
"Census Tract 5009.01, Santa Clara County, California!!Female!!Margin of Error",±181,±9.7,±8.3,±11.4,±11.7,±143,±7.2,±4.2,±8.7,±7.0,±3.7,±8.2,±7.9,±8.6,±10.3,±109,±6.8,±22.3,±82,±13.5,±23.2,±87,±15.9,±21.2,±39,±20.2,±15.4
"Census Tract 5009.02, Santa Clara County, California!!Total!!Estimate","1,583",2.00%,28.20%,65.30%,4.50%,841,10.90%,13.40%,17.20%,23.40%,1.00%,19.70%,14.30%,75.60%,34.00%,348,100.00%,52.30%,229,56.30%,7.00%,193,68.90%,40.90%,71,36.60%,12.70%
"Census Tract 5009.02, Santa Clara County, California!!Total!!Margin of Error",±668,±2.1,±9.2,±10.2,±6.7,±155,±9.8,±6.7,±8.8,±11.8,±1.5,±9.3,±8.7,±14.6,±13.1,±133,±10.8,±20.3,±77,±29.3,±9.3,±62,±17.0,±24.4,±29,±28.4,±21.4
"Census Tract 5009.02, Santa Clara County, California!!Male!!Estimate",726,4.40%,32.00%,63.60%,0.00%,375,3.50%,21.10%,31.20%,21.10%,2.10%,8.00%,13.10%,75.50%,21.10%,84,100.00%,36.90%,138,81.90%,0.00%,99,71.70%,39.40%,54,27.80%,16.70%
"Census Tract 5009.02, Santa Clara County, California!!Male!!Margin of Error",±321,±4.5,±12.7,±14.0,±5.4,±92,±6.2,±14.6,±13.9,±12.3,±3.3,±9.6,±10.5,±15.0,±12.9,±61,±35.6,±31.0,±67,±24.1,±24.8,±37,±26.4,±24.9,±32,±33.4,±29.2
"Census Tract 5009.02, Santa Clara County, California!!Female!!Estimate",857,0.00%,25.00%,66.60%,8.40%,466,17.00%,7.30%,6.00%,25.30%,0.00%,29.20%,15.20%,75.80%,44.40%,264,100.00%,57.20%,91,17.60%,17.60%,94,66.00%,42.60%,17,64.70%,0.00%
"Census Tract 5009.02, Santa Clara County, California!!Female!!Margin of Error",±453,±4.6,±9.3,±12.5,±11.5,±114,±16.6,±5.0,±6.8,±14.6,±8.2,±14.8,±12.6,±16.4,±17.3,±109,±14.0,±22.2,±49,±23.6,±23.6,±48,±30.8,±34.1,±16,±64.7,±79.8
"Census Tract 5010, Santa Clara County, California!!Total!!Estimate",662,20.70%,15.30%,51.10%,13.00%,"3,282",20.90%,12.50%,16.80%,13.40%,6.20%,18.20%,11.90%,66.60%,30.10%,827,78.80%,46.90%,"1,016",56.50%,14.80%,814,78.00%,36.10%,625,51.80%,25.10%
"Census Tract 5010, Santa Clara County, California!!Total!!Margin of Error",±175,±12.3,±11.4,±18.5,±11.8,±433,±9.5,±5.5,±5.7,±5.2,±3.4,±6.1,±5.6,±10.8,±8.7,±235,±16.6,±17.8,±318,±16.7,±9.8,±161,±13.1,±12.5,±83,±16.5,±12.3
"Census Tract 5010, Santa Clara County, California!!Male!!Estimate",442,17.00%,21.00%,47.50%,14.50%,"1,805",16.50%,13.10%,16.00%,17.80%,5.40%,19.10%,12.20%,70.50%,31.30%,581,78.10%,50.30%,533,54.60%,7.90%,452,88.10%,33.80%,239,54.00%,32.60%
"Census Tract 5010, Santa Clara County, California!!Male!!Margin of Error",±166,±17.2,±18.3,±23.2,±15.4,±311,±6.9,±9.6,±6.6,±6.9,±3.9,±8.9,±6.7,±12.2,±10.3,±207,±19.0,±19.6,±206,±20.1,±9.0,±95,±10.2,±16.6,±47,±19.9,±18.4
"Census Tract 5010, Santa Clara County, California!!Female!!Estimate",220,28.20%,3.60%,58.20%,10.00%,"1,477",26.40%,11.80%,17.70%,8.10%,7.20%,17.10%,11.60%,61.80%,28.70%,246,80.50%,39.00%,483,58.60%,22.40%,362,65.50%,39.00%,386,50.50%,20.50%
"Census Tract 5010, Santa Clara County, California!!Female!!Margin of Error",±113,±21.8,±6.4,±22.4,±12.9,±239,±14.4,±6.7,±9.1,±5.5,±4.6,±7.5,±7.0,±13.4,±11.3,±136,±21.3,±27.8,±165,±20.2,±14.2,±103,±25.9,±20.7,±90,±17.8,±14.7
"Census Tract 5011.01, Santa Clara County, California!!Total!!Estimate",334,0.00%,2.40%,55.70%,41.90%,"2,833",7.80%,4.30%,19.80%,12.30%,7.10%,29.30%,19.40%,88.00%,48.70%,907,99.00%,68.20%,744,89.70%,65.70%,706,84.30%,32.40%,476,69.70%,9.00%
"Census Tract 5011.01, Santa Clara County, California!!Total!!Margin of Error",±151,±11.3,±6.3,±32.4,±32.2,±335,±3.5,±2.9,±5.1,±5.4,±3.2,±7.2,±6.0,±4.1,±8.1,±206,±2.1,±12.9,±172,±11.0,±12.2,±175,±10.4,±16.3,±107,±10.5,±7.5
"Census Tract 5011.01, Santa Clara County, California!!Male!!Estimate",263,0.00%,0.00%,46.80%,53.20%,"1,508",5.00%,4.00%,25.90%,14.70%,5.00%,26.30%,19.10%,91.00%,45.40%,451,98.00%,55.70%,460,87.00%,64.10%,400,91.30%,31.50%,197,84.30%,6.10%
"Census Tract 5011.01, Santa Clara County, California!!Male!!Margin of Error",±159,±14.1,±14.1,±37.8,±37.8,±268,±3.8,±4.1,±7.0,±7.0,±3.9,±9.4,±8.0,±5.5,±9.8,±143,±4.4,±16.5,±109,±12.3,±16.1,±119,±8.8,±19.1,±87,±18.2,±9.7
"Census Tract 5011.01, Santa Clara County, California!!Female!!Estimate",71,0.00%,11.30%,88.70%,0.00%,"1,325",10.90%,4.60%,12.90%,9.60%,9.40%,32.70%,19.80%,84.50%,52.50%,456,100.00%,80.70%,284,94.00%,68.30%,306,75.20%,33.70%,279,59.50%,11.10%
"Census Tract 5011.01, Santa Clara County, California!!Female!!Margin of Error",±70,±39.0,±35.0,±35.0,±39.0,±131,±6.2,±4.0,±6.1,±6.0,±5.4,±9.0,±8.2,±6.4,±9.4,±124,±8.4,±13.5,±112,±13.2,±23.1,±96,±21.7,±21.5,±52,±16.6,±10.4
"Census Tract 5011.02, Santa Clara County, California!!Total!!Estimate",346,15.30%,6.90%,77.70%,0.00%,"2,885",11.20%,17.30%,24.00%,16.70%,11.70%,12.00%,7.10%,71.50%,19.10%,572,58.90%,35.80%,768,86.10%,15.20%,"1,029",74.10%,16.10%,516,58.50%,12.20%
"Census Tract 5011.02, Santa Clara County, California!!Total!!Margin of Error",±218,±16.3,±10.2,±20.0,±10.9,±362,±4.9,±6.8,±7.0,±5.6,±5.7,±4.4,±4.2,±8.8,±5.4,±206,±23.3,±18.5,±195,±8.8,±10.9,±188,±11.2,±6.6,±113,±21.8,±9.5
"Census Tract 5011.02, Santa Clara County, California!!Male!!Estimate",205,25.90%,3.40%,70.70%,0.00%,"1,343",10.60%,17.80%,25.20%,12.70%,10.30%,13.60%,9.80%,71.60%,23.30%,299,67.60%,46.50%,354,78.20%,11.00%,496,80.00%,20.00%,194,44.30%,18.60%
"Census Tract 5011.02, Santa Clara County, California!!Male!!Margin of Error",±154,±31.2,±8.6,±33.1,±17.6,±238,±4.8,±8.7,±10.4,±7.1,±7.3,±6.4,±6.8,±10.3,±7.5,±129,±26.4,±24.2,±135,±16.1,±11.3,±130,±12.7,±11.8,±50,±21.6,±16.8
"Census Tract 5011.02, Santa Clara County, California!!Female!!Estimate",141,0.00%,12.10%,87.90%,0.00%,"1,542",11.80%,16.80%,23.00%,20.10%,12.90%,10.60%,4.80%,71.40%,15.40%,273,49.50%,24.20%,414,92.80%,18.80%,533,68.70%,12.60%,322,67.10%,8.40%
"Census Tract 5011.02, Santa Clara County, California!!Female!!Margin of Error",±96,±24.3,±20.0,±20.0,±24.3,±227,±6.3,±6.8,±8.2,±6.9,±6.4,±5.9,±3.9,±9.3,±6.6,±127,±27.4,±24.5,±98,±10.8,±13.0,±101,±13.4,±8.3,±107,±23.1,±9.2
"Census Tract 5012, Santa Clara County, California!!Total!!Estimate",617,30.50%,30.00%,34.50%,5.00%,"2,375",15.90%,11.70%,14.50%,27.60%,10.10%,14.10%,6.10%,72.40%,20.20%,573,86.90%,25.10%,496,83.30%,29.60%,998,66.50%,16.20%,308,47.10%,8.40%
"Census Tract 5012, Santa Clara County, California!!Total!!Margin of Error",±199,±15.0,±17.0,±14.3,±5.8,±234,±6.4,±5.0,±5.4,±6.6,±4.0,±4.2,±3.2,±7.1,±5.0,±179,±10.2,±12.6,±113,±8.2,±13.1,±149,±12.3,±6.8,±101,±16.0,±7.5
"Census Tract 5012, Santa Clara County, California!!Male!!Estimate",309,31.70%,33.70%,24.60%,10.00%,"1,135",12.40%,11.30%,15.00%,31.50%,12.10%,11.10%,6.60%,76.30%,17.70%,286,93.00%,21.00%,225,79.10%,20.40%,476,67.20%,14.50%,148,68.90%,17.60%
"Census Tract 5012, Santa Clara County, California!!Male!!Margin of Error",±168,±17.5,±21.1,±20.5,±13.1,±147,±6.9,±6.5,±7.9,±9.1,±6.4,±4.4,±4.0,±8.2,±5.6,±101,±13.2,±14.3,±76,±13.2,±14.4,±89,±14.9,±8.8,±61,±19.0,±15.1
"Census Tract 5012, Santa Clara County, California!!Female!!Estimate",308,29.20%,26.30%,44.50%,0.00%,"1,240",19.00%,12.10%,14.10%,24.00%,8.40%,16.90%,5.60%,68.90%,22.40%,287,80.80%,29.30%,271,86.70%,37.30%,522,65.90%,17.80%,160,26.90%,0.00%
"Census Tract 5012, Santa Clara County, California!!Female!!Margin of Error",±131,±25.0,±30.8,±17.5,±12.2,±171,±7.7,±7.0,±5.7,±10.0,±5.9,±6.8,±3.5,±9.4,±7.2,±114,±18.6,±20.8,±96,±11.9,±17.9,±133,±16.7,±9.0,±64,±18.6,±21.9
"Census Tract 5013, Santa Clara County, California!!Total!!Estimate",910,12.00%,15.40%,52.40%,20.20%,"2,315",8.30%,4.50%,17.50%,13.50%,5.10%,32.40%,18.60%,87.10%,51.00%,662,95.30%,50.30%,594,79.80%,51.00%,873,89.90%,53.40%,186,68.30%,42.50%
"Census Tract 5013, Santa Clara County, California!!Total!!Margin of Error",±345,±8.0,±9.7,±11.7,±9.2,±450,±4.6,±2.8,±6.7,±5.9,±2.6,±7.0,±5.1,±5.2,±9.5,±246,±3.6,±19.7,±172,±11.2,±14.8,±188,±7.3,±9.9,±41,±16.7,±18.6
"Census Tract 5013, Santa Clara County, California!!Male!!Estimate",447,14.50%,22.60%,43.80%,19.00%,"1,201",8.20%,3.10%,18.70%,16.00%,7.00%,31.10%,15.90%,88.70%,47.00%,307,95.40%,32.60%,304,81.60%,53.00%,479,93.90%,52.40%,111,66.70%,47.70%
"Census Tract 5013, Santa Clara County, California!!Male!!Margin of Error",±161,±12.4,±16.5,±15.5,±13.3,±276,±6.2,±1.8,±8.4,±7.9,±3.7,±9.1,±6.0,±7.2,±11.1,±128,±8.9,±18.0,±132,±17.2,±19.2,±116,±7.0,±13.7,±28,±20.2,±20.0
"Census Tract 5013, Santa Clara County, California!!Female!!Estimate",463,9.50%,8.40%,60.70%,21.40%,"1,114",8.40%,6.10%,16.20%,10.90%,3.10%,33.80%,21.50%,85.50%,55.30%,355,95.20%,65.60%,290,77.90%,49.00%,394,85.00%,54.60%,75,70.70%,34.70%
"Census Tract 5013, Santa Clara County, California!!Female!!Margin of Error",±259,±12.4,±7.9,±16.5,±15.7,±291,±4.8,±5.4,±8.7,±5.9,±2.8,±8.5,±6.9,±7.2,±11.4,±190,±7.8,±23.0,±116,±14.1,±18.8,±100,±11.4,±12.7,±38,±23.3,±25.8
"Census Tract 5014.01, Santa Clara County, California!!Total!!Estimate",265,49.80%,41.50%,8.70%,0.00%,"1,754",32.70%,17.80%,23.30%,10.80%,4.10%,6.40%,4.90%,49.50%,11.30%,675,46.40%,7.00%,464,42.90%,9.70%,399,60.40%,13.50%,216,53.20%,24.10%
"Census Tract 5014.01, Santa Clara County, California!!Total!!Margin of Error",±138,±24.1,±24.1,±13.7,±14.0,±216,±13.0,±9.1,±8.8,±4.7,±2.6,±3.0,±2.5,±10.4,±4.1,±195,±19.1,±5.0,±172,±21.1,±7.7,±132,±20.8,±10.1,±79,±25.5,±14.2
"Census Tract 5014.01, Santa Clara County, California!!Male!!Estimate",108,50.00%,50.00%,0.00%,0.00%,970,34.00%,17.30%,28.00%,6.80%,3.80%,4.50%,5.50%,48.70%,10.00%,391,38.90%,2.30%,226,56.60%,16.80%,275,50.20%,9.50%,78,69.20%,30.80%
